Sport,Event
Table Tennis,Table Tennis Men's Team
Freestyle Skiing,Freestyle Skiing Men's Ski Cross
Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual"
Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual"
Freestyle Skiing,Freestyle Skiing Women's Ski Cross
Boxing,Boxing Women's Flyweight
Sailing,Sailing Men's One Person Heavyweight Dinghy
Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
Boxing,Boxing Women's Middleweight
Sailing,Sailing Men's Skiff
Cycling,Cycling Men's Omnium
Boxing,Boxing Women's Lightweight
Cycling,Cycling Women's Team Pursuit
Tennis,Tennis Mixed Doubles
Canoeing,"Canoeing Men's Kayak Singles, 200 metres"
Canoeing,"Canoeing Men's Canadian Singles, 200 metres"
Cycling,Cycling Women's Omnium
Cycling,Cycling Women's Team Sprint
Cycling,Cycling Women's Keirin
Figure Skating,Figure Skating Mixed Team
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
Freestyle Skiing,Freestyle Skiing Men's Slopestyle
Freestyle Skiing,Freestyle Skiing Women's Halfpipe
Ski Jumping,"Ski Jumping Women's Normal Hill, Individual"
Snowboarding,Snowboarding Women's Slopestyle
Snowboarding,Snowboarding Men's Parallel Slalom
Luge,Luge Mixed Team Relay
Freestyle Skiing,Freestyle Skiing Women's Slopestyle
Snowboarding,Snowboarding Men's Slopestyle
Freestyle Skiing,Freestyle Skiing Men's Halfpipe
Snowboarding,Snowboarding Women's Parallel Slalom
Rugby Sevens,Rugby Sevens Women's Rugby Sevens
Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle"
Wrestling,"Wrestling Women's Featherweight, Freestyle"
Rugby Sevens,Rugby Sevens Men's Rugby Sevens
Sailing,Sailing Women's Skiff
Golf,Golf Men's Individual
Golf,Golf Women's Individual
